"Mrs. Theresa Herring","LANG-3981"
"Scott Duncan","ARCH-3338"
"Scott Duncan","PSYC-1471"
"Gloria Diaz","PSYC-9315"
"Adrian Steele","STSO-3133"
"Adrian Steele","ECSE-1491"
"Dana Rangel","CHEM-1386"
"Amanda Ellis","ENGR-8234"
"Amanda Ellis","MGMT-6741"
"Sherri Kerr","MATH-9858"
"Sherri Kerr","BIOL-7732"
"Sherri Kerr","BIOL-4316"
"Dr. Kim Hinton","LANG-9205"
"Dr. Kim Hinton","LANG-5999"
"Dale Schultz","ITEC-5685"
"Dale Schultz","MATH-4045"
"Sarah Lee","MGMT-2898"
"Sarah Lee","ECON-2282"
"Alexis Rosario","LANG-2615"
"Alexis Rosario","BIOL-5328"
"Alexis Rosario","CHEM-1386"
"Theresa Rose","STSO-2475"
"Theresa Rose","LANG-8456"
"Alice Sellers","STSO-5001"
"Jeremy Carter","PSYC-4598"
"Jeremy Carter","PSYC-1499"
"Jeremy Carter","ARCH-5943"
"Meghan Sellers","ARCH-8568"
"Meghan Sellers","ENGR-7308"
"Carla Hanson","CHEM-8938"
"Carla Hanson","LANG-1278"
"Carla Hanson","ECON-5604"
"Ethan Gross","CSCI-2137"
"Casey Smith","ECON-8869"
"Casey Smith","CHEM-4549"
"Casey Smith","ARCH-8843"
"Meredith Stewart","ENGR-4339"
"Meredith Stewart","PSYC-7868"
"Meredith Stewart","CSCI-1405"
"April Alexander","BIOL-9328"
"Melvin Murphy","PSYC-5254"
"Jonathan Rodriguez","MATH-2624"
"Jonathan Rodriguez","CHEM-4366"
"Daniel Walton","COGS-6575"
"Daniel Walton","ECON-5604"
"Mr. Kurt Ayala II","PSYC-2973"
"Mr. Kurt Ayala II","ENGR-8635"
"Christopher Lyons","MGMT-3727"
"Christopher Lyons","MGMT-7673"
"Christopher Lyons","ITEC-3314"
"William Moore","BIOL-4011"
"William Moore","LANG-3886"
"Jessica Alexander","PSYC-7620"
"Jessica Alexander","STSO-2475"
"Jessica Alexander","ENGR-8578"
"Zachary Tran","ECON-7764"
"Casey Gallegos","ECON-8869"
"Casey Gallegos","STSO-2610"
"Casey Gallegos","CHEM-5387"
"Carrie Gordon","ENGR-8234"
"Carrie Gordon","LANG-1038"
"Daniel Bailey","BIOL-1217"
"Daniel Bailey","CHEM-5387"
"Kristen Johnson","MGMT-2126"
"Kristen Johnson","ECON-5413"
"Kristen Johnson","ECON-5530"
"Nicholas Webb","ITEC-8608"
"Nicholas Webb","LANG-2615"
"Crystal Callahan","ENGR-8711"
"Sean Pacheco","CSCI-2861"
"Sean Pacheco","ECSE-7483"
"Jacob Hatfield","PSYC-2251"
"Jacqueline Sanders","PSYC-1360"
"Jacqueline Sanders","ITEC-3358"
"Jacqueline Sanders","ENGR-6537"
"Dana Diaz","STSO-3508"
"Dana Diaz","BIOL-5043"
"Robin Leon","ECSE-2712"
"Melanie Thompson","BIOL-9328"
"Melanie Thompson","MATH-3894"
"James Newton","PSYC-6966"
"James Newton","CHEM-7787"
"James Newton","PSYC-4598"
"Anita Allen","CHEM-8182"
"Anita Allen","LANG-3886"
"Sarah Foley","CHEM-2266"
"Sarah Foley","ENGR-6942"
"Sarah Foley","BIOL-6426"
"Lawrence Coleman","BIOL-4692"
"Lawrence Coleman","ENGR-8578"
"Lawrence Coleman","MGMT-8811"
"Tim Hodges","ITEC-5042"
"Anthony Oconnell","LANG-1278"
"Stephen Farley","MGMT-2368"
"Stephen Farley","ENGR-6942"
"Stephen Farley","CSCI-1629"
"Michelle Roy","CHEM-9352"
"Michelle Roy","ARCH-2464"
"Peter Roberts","CSCI-1777"
"Peter Roberts","ENGR-4942"
"Laura Martin","PSYC-9315"
"Laura Martin","ECSE-4571"
"Morgan Thompson","ARCH-2464"
"Cody Ray","ITEC-4946"
"Cody Ray","ECSE-7363"
"James Flynn","MATH-5704"
"James Flynn","ARCH-3338"
"James Flynn","CHEM-8938"
"Emily Valentine","LANG-2358"
"Emily Valentine","LANG-5774"
"Emily Valentine","CSCI-6766"
"Andrew Grimes","LANG-1270"
"Andrew Grimes","COGS-6212"
"Jeremy Perez","ECON-9767"
"Sally Evans","CHEM-4366"
"Chris Jackson","ITEC-6107"
"Chris Jackson","STSO-5522"
"Chris Jackson","BIOL-6593"
"Deanna Hodges","MGMT-6085"
"Deanna Hodges","CSCI-8424"
"Leslie Miller","ECSE-6530"
"Leslie Miller","ARCH-7453"
"Leslie Miller","PSYC-9168"
"James Tran","BIOL-1217"
"James Tran","COGS-5146"
"James Tran","STSO-5522"
"Brian Allen","LANG-4629"
"Daniel Lang","PSYC-1360"
"Daniel Lang","CHEM-2959"
"Catherine Booth","ARCH-5943"
"Catherine Booth","ECON-5530"
"Bradley Jackson","PSYC-7868"
"Shannon Parker","CHEM-9381"
"Shannon Parker","LANG-1283"
"Cristian Rodriguez","STSO-8036"
"Cristian Rodriguez","BIOL-2248"
"Jenny Johns","MATH-9813"
"Sonya Ellis","ARCH-8843"
"Sonya Ellis","LANG-2464"
"John Kelly","MGMT-1558"
"John Kelly","LANG-8456"
"Steven Hernandez","ARCH-2464"
"Richard Key","COGS-8029"
"Richard Key","ECSE-9097"
"Richard Key","BIOL-9423"
"Randy Sanford","STSO-3494"
"Randy Sanford","MATH-9779"
"Lisa Wright","MATH-9199"
"Lisa Wright","ECSE-8065"
"Lisa Wright","ITEC-4946"
"Misty Whitaker","STSO-1933"
"Misty Whitaker","CSCI-9513"
"Philip Goodman","ECSE-8140"
"Philip Goodman","ENGR-5011"
"Tiffany Allen","MGMT-4733"
"Tiffany Allen","MGMT-6741"
"Tiffany Allen","COGS-7514"
"Alison Glenn","ARCH-8843"
"Alison Glenn","CHEM-9716"
"Stacey Mccarthy","LANG-3109"
"Kimberly Yang","BIOL-7088"
"Kimberly Yang","PSYC-2251"
"Samantha Reid","BIOL-8647"
"Samantha Reid","LANG-4384"
"Derrick Gaines","ARCH-9962"
"Derrick Gaines","COGS-3427"
"Ronald Wolfe","CHEM-8845"
"Ronald Wolfe","ITEC-6107"
"Ronald Wolfe","MATH-4282"
"Jennifer Lin","PSYC-4598"
"Jennifer Lin","LANG-5999"
"Jennifer Lin","CSCI-7746"
"Natalie Duncan","LANG-2714"
"Natalie Duncan","ARCH-7686"
"Jon Simpson","ENGR-3462"
"Jon Simpson","CHEM-9367"
"Jon Simpson","ENGR-3462"
"Shawn Ramirez","STSO-1933"
"Mary Eaton","LANG-3193"
"Samantha Johnson","ITEC-6379"
"David Martinez","ITEC-2724"
"Gloria Baker","BIOL-3506"
"Gloria Baker","ECON-2010"
"Gloria Baker","LANG-4105"
"Nicholas Perkins","ECSE-7363"
"Deanna Garcia","ECON-5413"
"Deanna Garcia","CSCI-1629"
"Deanna Garcia","MATH-3894"
"Robert Watson","MGMT-6085"
"Lori Richardson","CSCI-5630"
"Lori Richardson","ECON-2010"
"Lori Richardson","STSO-3850"
"Madison Lambert","MGMT-5643"
"Madison Lambert","ENGR-5011"
"Madison Lambert","COGS-6893"
"Curtis Hess","PSYC-1405"
"Curtis Hess","ECON-4118"
"Curtis Hess","LANG-8367"
"Gregory Hall","PSYC-2251"
"Lisa Beltran","PSYC-6966"
"Steven Sullivan","CSCI-1704"
"Luke Sosa","LANG-8563"
"Luke Sosa","LANG-9205"
"Luke Sosa","STSO-8203"
"Kelly King","CSCI-6658"
"Rachel Mccarthy","ENGR-8711"
"Michael Gray","CHEM-8116"
"Michael Gray","PSYC-1405"
"Joanna Baird","LANG-5653"
"Martin Hartman","MGMT-1558"
"Martin Hartman","MATH-5864"
"Martin Hartman","CSCI-4158"
"Jon Lane","STSO-4319"
"Susan Price","PSYC-1471"
"Susan Price","BIOL-8223"
"Peter Lee","CHEM-5099"
"Peter Lee","STSO-4319"
"Cathy House","STSO-3508"
"Cathy House","ITEC-3314"
"Cathy House","CSCI-5085"
"Kathryn Cruz","PSYC-1799"
"Kathryn Cruz","CHEM-1584"
"Kathryn Cruz","ECSE-7314"
"Amanda Coleman","ECSE-9186"
"Amanda Coleman","ITEC-6848"
"Amanda Coleman","MATH-4277"
"Edward Collins","CSCI-5884"
"Jeremy Bennett","MGMT-3535"
"Jeremy Bennett","STSO-2963"
"Mary Gonzales","ENGR-8635"
"Mary Gonzales","BIOL-9328"
"Alexandra Adkins","PSYC-1340"
"Alexandra Adkins","BIOL-4411"
"Alexandra Adkins","PSYC-2277"
"Carrie West","BIOL-8647"
"Carrie West","MATH-5331"
"Adam Smith","MGMT-4733"
"Kimberly Gentry","ECON-9767"
"Kimberly Gentry","PSYC-1318"
"Kimberly Gentry","ECON-4224"
"William Henry","LANG-3109"
"William Henry","PSYC-9168"
"Karen Mcneil","STSO-2266"
"Karen Mcneil","ITEC-2883"
"Karen Mcneil","LANG-3193"
"Lisa Lucas","COGS-1543"
"Lisa Lucas","ECSE-1607"
"Robin Wilkins","ECSE-5695"
"Robin Wilkins","ECSE-6530"
"Sharon Warner","ITEC-5084"
"Sharon Warner","CSCI-7708"
"Sharon Warner","CSCI-1994"
"Peter Hanson","ECSE-5695"
"Peter Hanson","LANG-8456"
"William Chapman","ECSE-9097"
"William Chapman","PSYC-4598"
"William Chapman","BIOL-6593"
"Latoya Patton","CSCI-8306"
"Latoya Patton","CSCI-8424"
"Gabriela Wilkerson","ENGR-4942"
"Gabriela Wilkerson","ITEC-6848"
"Scott Fernandez","ARCH-6185"
"Scott Fernandez","ECON-2010"
"Amber Vincent","CSCI-1157"
"Amber Vincent","ARCH-7686"
"Richard Gibbs","COGS-6212"
"Richard Gibbs","ITEC-6550"
"Gary Perkins","ECSE-5968"
"Gary Perkins","BIOL-5252"
"Gary Perkins","ARCH-7668"
"Susan Cameron","PSYC-4373"
"Susan Cameron","STSO-4319"
"James Yang","MATH-2624"
"Sarah Walker","COGS-1059"
"Sarah Walker","MATH-2934"
"Sarah Walker","COGS-8518"
"Tammy Hughes","MATH-5331"
"Tammy Hughes","ARCH-7841"
"Tammy Hughes","CSCI-8811"
"Justin Bailey","BIOL-4054"
"Justin Bailey","ARCH-6473"
"Laura Ford","MATH-7964"
"Jasmine Gregory","CHEM-5099"
"Jasmine Gregory","ENGR-8711"
"Lori Armstrong","ECON-3253"
"Lori Armstrong","ECON-4404"
"Cody Clark","PSYC-6453"
"Cody Clark","ENGR-5011"
"Angela Ortiz","PSYC-8075"
"Angela Ortiz","LANG-1682"
"Angela Ortiz","MATH-6667"
"Susan Gonzalez","MATH-8420"
"Susan Gonzalez","STSO-2475"
"Susan Gonzalez","COGS-5133"
"Molly Leonard","ECSE-6925"
"Alexis Kennedy","MATH-4023"
"Alexis Kennedy","CHEM-2562"
"Samuel Bennett","COGS-8009"
"Samuel Bennett","LANG-5999"
"Samuel Bennett","COGS-7514"
"Jane Anderson","PSYC-1499"
"Jane Anderson","COGS-6575"
"Jane Anderson","ITEC-9261"
"Robert House","CSCI-6658"
"Robert House","PSYC-5029"
"Robert House","PSYC-2973"
"Danielle Sloan","ITEC-9116"
"Danielle Sloan","CSCI-8365"
"Danielle Sloan","CSCI-2542"
"Katelyn Jackson","ECSE-9748"
"Katelyn Jackson","PSYC-9955"
"Joseph Mckinney","ECSE-6530"
"Joseph Mckinney","CSCI-2400"
"Joseph Mckinney","COGS-1363"
"George Davies","COGS-8009"
"Ryan Moss","PSYC-2116"
"Ryan Moss","LANG-3131"
"Ryan Moss","ENGR-8234"
"Sarah Miller","LANG-2714"
"Jerry Lambert","LANG-1283"
"Jerry Lambert","PSYC-9315"
"Jerry Lambert","ECSE-6925"
"Laurie Lindsey","COGS-9661"
"Steven Norris","ITEC-2402"
"Steven Norris","STSO-9202"
"Steven Norris","ARCH-5996"
"Alisha Thomas","ARCH-8843"
"Heather Mora","BIOL-2804"
"Charles Parker","LANG-9205"
"Charles Parker","ARCH-5996"
"Charles Parker","ECON-5839"
"Daniel Solomon","LANG-1283"
"Hannah Rodriguez","PSYC-1405"
"Brandon Allison","CSCI-1157"
"Brandon Allison","ECSE-6690"
"Brandon Allison","ITEC-8451"
"Rhonda Baker","ITEC-5685"
"Eric Burns","ENGR-9476"
"Eric Burns","ENGR-5011"
"Eric Burns","ENGR-4384"
"Danielle Allen","CSCI-1157"
"Dr. Jonathan Jones","CHEM-7787"
"Dr. Jonathan Jones","LANG-5774"
"Randy Cruz","COGS-9667"
"Randy Cruz","ENGR-8838"
"Randy Cruz","ENGR-9476"
"Amanda Grant","COGS-6330"
"Amanda Grant","CHEM-4366"
"Amanda Grant","COGS-8573"
"Kelly Torres","ECSE-9948"
"Kelly Torres","CHEM-8339"
"Tyler Tate","LANG-1038"
"Tyler Tate","LANG-1038"
"Tyler Tate","ECSE-9097"
"Russell Hubbard","ECSE-3554"
"Eric Martinez","BIOL-3506"
"Victoria Knight","ENGR-8578"
"Victoria Knight","CSCI-5490"
"Victoria Knight","BIOL-8647"
"Alejandra Martin","ENGR-6735"
"Alejandra Martin","MATH-4277"
"Alejandra Martin","COGS-7287"
"Dr. Casey Conrad","STSO-2823"
"Dr. Casey Conrad","ITEC-6379"
"Amanda Melton","STSO-7806"
"Amanda Melton","ECON-5839"
"Tracie Abbott","ECON-2818"
"Tracie Abbott","CSCI-1934"
"Stephanie Barron","CHEM-8182"
"Stephanie Barron","ARCH-1513"
"Stephanie Barron","LANG-5653"
"Kellie Gutierrez","ECSE-5695"
"Kellie Gutierrez","ECSE-8065"
"Kellie Gutierrez","PSYC-6051"
"Kristin Park","PSYC-9168"
"Kristin Park","CHEM-4309"
"Kristin Park","CHEM-4549"
"Gary Baldwin","LANG-6380"
"Ryan Bauer","CSCI-1601"
"Ryan Bauer","MGMT-1558"
"Ryan Bauer","ECSE-5117"
"Alexander Hernandez","LANG-3131"
"Alexander Hernandez","ARCH-8843"
"Katherine Pennington","ENGR-7382"
"Katherine Pennington","LANG-8456"
"Katherine Pennington","COGS-7911"
"Joshua Murphy","ECSE-6925"
"Christopher Baxter","STSO-3133"
"Christopher Baxter","STSO-8203"
"Christopher Baxter","CSCI-7575"
"Phillip Jensen","STSO-3494"
"Phillip Jensen","LANG-2464"
"Alexa Thornton","PSYC-8075"
"Alexa Thornton","CHEM-9352"
"Alexa Thornton","ECSE-3554"
"Dominic Ballard","LANG-8563"
"Dominic Ballard","MGMT-8778"
"Richard Thompson","ECON-4404"
"Richard Thompson","STSO-3508"
"Michael Cross","CHEM-4366"
"Michael Cross","BIOL-4867"
"Adam Montgomery","CSCI-2400"
"Ann Doyle","STSO-2475"
"Ann Doyle","ITEC-8608"
"Lauren Rogers","COGS-6893"
"Lauren Rogers","CHEM-6923"
"Sandra Newman","ARCH-1513"
"Sandra Newman","MGMT-9350"
"Jacqueline Cooper","ECSE-5968"
"Angela Hubbard","ECON-4404"
"Angela Hubbard","PSYC-9955"
"Angela Hubbard","MATH-1079"
"Jeremy Mitchell","BIOL-4692"
"Jill Jenkins","ENGR-3462"
"Jill Jenkins","CHEM-9381"
"Jill Jenkins","ITEC-6848"
"Emily Arias","MGMT-4520"
"Emily Arias","COGS-3037"
"Emily Arias","COGS-9661"
"Kimberly Diaz","ECON-4224"
"Kimberly Diaz","ECON-8665"
"Kimberly Diaz","PSYC-1405"
"Cynthia Rodriguez","LANG-7473"
"Crystal Cook","STSO-5001"
"Crystal Cook","CSCI-6766"
"Crystal Cook","MGMT-3637"
"Andrea Castillo","ECON-5803"
"Andrea Castillo","CHEM-5387"
"Seth Gentry","CHEM-1963"
"Seth Gentry","ITEC-3099"
"Whitney Cox","STSO-1842"
"Whitney Cox","ITEC-5042"
"Whitney Cox","ITEC-5417"
"Mr. Richard Brown","MGMT-6085"
"Mr. Richard Brown","BIOL-9858"
"Mr. Richard Brown","COGS-1776"
"Cindy Reed","CHEM-9716"
"Cindy Reed","MATH-4045"
"Cindy Reed","ARCH-8157"
"Deborah Mason","CSCI-7757"
"Elaine Kaufman","CSCI-6288"
"Kimberly Vaughan","MATH-5394"
"Kimberly Vaughan","LANG-7040"
"Kimberly Vaughan","ECSE-2659"
"Joshua Pena","ITEC-5685"
"Joshua Pena","MATH-6422"
"John Randall","CHEM-2562"
"Kelly Newman","BIOL-4054"
"Kelly Newman","COGS-6893"
"Margaret Dickerson","BIOL-1217"
"Amanda Smith","ITEC-2883"
"Amanda Smith","BIOL-5252"
"Amanda Smith","COGS-2623"
"Travis Dixon","STSO-6966"
"Travis Dixon","ECON-5839"
"Anthony Jacobs","MGMT-2422"
"Anthony Jacobs","BIOL-6593"
"Anthony Jacobs","PSYC-5254"
"Jennifer Griffin","COGS-7287"
"Jennifer Griffin","BIOL-7088"
"Jennifer Griffin","ECSE-7363"
"Christina Contreras","LANG-2358"
"Leonard Miller","ARCH-1790"
"Melissa Mcpherson MD","PSYC-5254"
"Melissa Mcpherson MD","STSO-8068"
"Melissa Mcpherson MD","ECON-4118"
"Alexandria Robles","ECON-6575"
"Alexandria Robles","STSO-6899"
"Alexandria Robles","MGMT-5766"
"Bob Martinez","PSYC-6453"
"Bob Martinez","CHEM-8182"
"Heidi Nolan","MATH-8420"
"Michael Haynes","ENGR-5011"
"Michael Haynes","ECON-7764"
"Cheryl Hunt","ECSE-1491"
"Cheryl Hunt","ARCH-5996"
"Scott Vega","CHEM-2562"
"Scott Vega","CHEM-4904"
"Scott Vega","MATH-6422"
"Joshua Pratt","MATH-5669"
"Joshua Pratt","LANG-3989"
"Joshua Pratt","STSO-6966"
"Lindsey Hahn","MGMT-9704"
"Brittney Ball","CHEM-1963"
"Jeffrey Hawkins","MGMT-6741"
"Jeffrey Hawkins","BIOL-7711"
"Jesse Grant","BIOL-9107"
"Jesse Grant","CSCI-9624"
"Marcus Williams","CHEM-8435"
"Marcus Williams","LANG-5774"
"Marcus Williams","BIOL-5252"
"Douglas Durham","ECSE-6866"
"Douglas Durham","ITEC-3263"
"Ashley Gutierrez","MGMT-4611"
"Ashley Gutierrez","COGS-2244"
"Manuel Garza","STSO-5144"
"Manuel Garza","MATH-5394"
"Manuel Garza","BIOL-5043"
"Terrence Jackson","LANG-9830"
"Terrence Jackson","ECON-5604"
"Carolyn Smith","COGS-7706"
"Patricia Smith","ENGR-4550"
"Ms. Elizabeth Nelson","COGS-5133"
"Ms. Elizabeth Nelson","ENGR-3478"
"Crystal Garza","LANG-1270"
"Crystal Garza","ECSE-9097"
"Todd Carey","ECSE-9557"
"Todd Carey","ECSE-4571"
"Todd Carey","ECON-1298"
"Katelyn Rodriguez","ITEC-6107"
"Kimberly Peterson","MATH-1668"
"James Erickson","STSO-8396"
"James Erickson","CSCI-4158"
"Dave James","PSYC-8075"
"Jennifer Charles","CHEM-8116"
"Jennifer Charles","BIOL-7088"
"Dana Rodriguez","PSYC-4373"
"Anna Cortez","CSCI-1934"
"April Gomez","ENGR-9178"
"April Gomez","BIOL-7732"
"April Gomez","ARCH-5943"
"Steven Medina","BIOL-1380"
"Steven Medina","COGS-2457"
"Melissa Fields","CHEM-1963"
"Mark Bryan","CHEM-9352"
"Miguel Kaufman","BIOL-1380"
"Miguel Kaufman","BIOL-2804"
"Miguel Kaufman","ITEC-3358"
"Ashlee Simmons","MGMT-6741"
"Ashlee Simmons","LANG-8192"
"Ashlee Simmons","CSCI-6607"
"Lisa Pace","MATH-4884"
"Kristen Wilson","ITEC-3358"
"Christine Compton","LANG-3981"
"Alexander Chavez","ITEC-8653"
"Alexander Chavez","PSYC-8075"
"Alexander Chavez","STSO-3133"
"Kimberly Bright","ARCH-6185"
"Kimberly Bright","LANG-2714"
"John Gonzalez","BIOL-7645"
"John Gonzalez","MGMT-4611"
"Sarah Cook","ITEC-2215"
"Sarah Cook","MGMT-1558"
"Jeremy Harrington","ITEC-7960"
"Jeremy Harrington","ECON-4404"
"Heather Jordan","MATH-9813"
"Heather Jordan","COGS-1543"
"Heather Jordan","ECSE-1460"
"Shawn Adams","LANG-9275"
"Anthony Smith","CHEM-3665"
"Anthony Smith","MGMT-5766"
"Anthony Smith","ITEC-8660"
"Tracy English","ECSE-6866"
"Madison Cook","LANG-4629"
"Madison Cook","ARCH-8432"
"Madison Cook","ITEC-5417"
"Douglas Dunn","STSO-6137"
"Margaret English","MATH-9813"
"Margaret English","ECON-2818"
"Margaret English","STSO-5144"
"Joel Wright","PSYC-1505"
"Joel Wright","ECON-2010"
"James Maldonado","LANG-3488"
"Nicholas Watts","ITEC-5685"
"Nicholas Watts","PSYC-8244"
"Jason Shea","CSCI-6872"
"Jason Shea","ENGR-4550"
"Jason Shea","PSYC-5254"
"Dr. Michael Stewart","BIOL-5098"
"Dr. Michael Stewart","LANG-7473"
"Nancy Gutierrez","CHEM-4366"
"Ashley Curry","LANG-5999"
"Ashley Curry","LANG-8192"
"Ashley Curry","COGS-2457"
"James Miller","MATH-7964"
"James Miller","ARCH-8843"
"James Miller","BIOL-4867"
"Jimmy Smith","COGS-3037"
"Thomas Olson","CHEM-7580"
"Thomas Olson","BIOL-9858"
"Anne Mason","COGS-2457"
"Melvin Black","ARCH-7453"
"Jasmin Hart","CSCI-8811"
"Jasmin Hart","PSYC-1799"
"Hannah Cooper","ECON-9573"
"Hannah Cooper","STSO-8036"
"Hannah Brown","LANG-7417"
"Hannah Brown","MGMT-8047"
"Raven Jackson","ECON-5803"
"Raven Jackson","ECON-9573"
"Bryan Smith","COGS-5146"
"Angela Mccall","MATH-5356"
"Angela Mccall","LANG-9426"
"Jason Grant","ARCH-3338"
"Jason Grant","ITEC-6107"
"Jason Grant","CSCI-1038"
"Jessica Gutierrez","LANG-5653"
"Jessica Gutierrez","LANG-9426"
"Sean Wagner","ITEC-5685"
"Sean Wagner","ECSE-9557"
"Thomas Barnes","PSYC-4598"
"Thomas Barnes","BIOL-9328"
"Teresa Watkins","LANG-5653"
"Timothy Craig","ECON-4404"
"Timothy Craig","PSYC-1505"
"Timothy Craig","BIOL-7645"
"Jennifer Evans","CSCI-1521"
"Jennifer Evans","ITEC-5417"
"Michael Williamson","STSO-8068"
"Michael Williamson","MGMT-8047"
"Brady Walker","MGMT-6085"
"Brady Walker","MGMT-3535"
"Travis Payne","ECSE-8140"
"Travis Payne","LANG-3886"
"Travis Payne","BIOL-6758"
"Daniel Duarte","CSCI-6658"
"Daniel Duarte","ECSE-2185"
"Daniel Duarte","LANG-4384"
"Johnathan Richards","COGS-5133"
"Johnathan Richards","MATH-9779"
"Matthew Browning","CSCI-6766"
"Matthew Browning","ECON-1471"
"Matthew Browning","CSCI-4126"
"Troy Stone","BIOL-5296"
"Troy Stone","LANG-5999"
"Troy Stone","MGMT-6609"
"Chelsey Johnson","COGS-5132"
"Chelsey Johnson","ITEC-4931"
"Spencer Jordan","ITEC-3358"
"Spencer Jordan","MGMT-6609"
"Willie Rodriguez","LANG-5774"
"Willie Rodriguez","STSO-5144"
"Willie Rodriguez","ITEC-8653"
"Mr. Brian Nelson Jr.","ECSE-9948"
"Mr. Brian Nelson Jr.","BIOL-4011"
"Mr. Brian Nelson Jr.","CHEM-4267"
"Mark Allen","CSCI-3633"
"Mark Allen","ECSE-6690"
"Jennifer Larson","PSYC-1318"
"Jennifer Larson","CSCI-1994"
"Thomas Robertson","MGMT-8224"
"Sandra Smith","MATH-5669"
"Sandra Smith","ITEC-5084"
"Sandra Smith","ENGR-6537"
"Phillip Graves","STSO-6966"
"Phillip Graves","CHEM-2959"
"Monica Rowe","MATH-1079"
"Monica Rowe","STSO-2610"
"Monica Rowe","ECON-2282"
"Sara Walters","CSCI-9624"
"Sara Walters","ARCH-9302"
"Sara Walters","LANG-7040"
"Linda Maynard","CHEM-7955"
"Linda Maynard","MGMT-9704"
"James Hoffman","STSO-5789"
"James Hoffman","COGS-8518"
"Ariel Hart","STSO-1933"
"Ariel Hart","ITEC-6470"
"David Lopez","COGS-9903"
"Jack House","LANG-2358"
"Brandy Rose","MGMT-6033"
"Brandy Rose","BIOL-8647"
"Dr. Fernando West","BIOL-4867"
"Dr. Fernando West","CSCI-3014"
"Dr. Fernando West","LANG-4105"
"Matthew Jenkins","BIOL-2248"
"Matthew Jenkins","ARCH-4981"
"Matthew Jenkins","LANG-9275"
"Lauren Mitchell","BIOL-5043"
"Lindsay Ortega","ARCH-3204"
"Anthony Reilly","ARCH-2486"
"Anthony Reilly","ITEC-4946"
"Erin Reyes","PSYC-8244"
"Erin Reyes","ITEC-8505"
"Erin Reyes","MGMT-7977"
"Arthur Brown","LANG-7040"
"Arthur Brown","CHEM-4366"
"Arthur Brown","MATH-9843"
"Veronica Lee","COGS-5146"
"Veronica Lee","CHEM-5099"
"Veronica Lee","MGMT-6033"
"Tamara Garcia","ECON-2818"
"Tamara Garcia","ITEC-6107"
"Sonia Cook","ITEC-3263"
"Sonia Cook","MATH-5331"
"Sonia Cook","ENGR-9278"
"Jack Chase","PSYC-7620"
"Kathy Cardenas","COGS-6893"
"Kathy Cardenas","ITEC-9478"
"Kathleen Wong","BIOL-5043"
"Kathleen Wong","ENGR-4384"
"Kathleen Wong","ENGR-4942"
"Steven Jackson","ECON-5803"
"Steven Jackson","BIOL-1380"
"Marissa Jackson","COGS-1363"
"Marissa Jackson","CSCI-1521"
"Jeremy Owens","STSO-8269"
"Sara Blackwell","ECON-9767"
